NinjaScript File,Error,Code,Line,Column,
ZigZagATR.cs,Type 'MarketAnalyzerColumn' already defines a member called 'ZigZagATR' with the same parameter types,CS0111,429,31,
ZigZagATR.cs,Type 'MarketAnalyzerColumn' already defines a member called 'ZigZagATR' with the same parameter types,CS0111,434,31,
ZigZagATR.cs,Type 'Strategy' already defines a member called 'ZigZagATR' with the same parameter types,CS0111,445,31,
ZigZagATR.cs,Type 'Strategy' already defines a member called 'ZigZagATR' with the same parameter types,CS0111,450,31,
ZigZagATR.cs,The type 'Indicator' already contains a definition for 'cacheZigZagATR',CS0102,408,23,
ZigZagATR.cs,Type 'Indicator' already defines a member called 'ZigZagATR' with the same parameter types,CS0111,409,20,
ZigZagATR.cs,Type 'Indicator' already defines a member called 'ZigZagATR' with the same parameter types,CS0111,414,20,
ZigZagATR.cs,The call is ambiguous between the following methods or properties: 'Indicator.ZigZagATR(ISeries<double> int double bool int bool bool)' and 'Indicator.ZigZagATR(ISeries<double> int double bool int bool bool)',CS0121,390,30,
ZigZagATR.cs,The call is ambiguous between the following methods or properties: 'Indicator.ZigZagATR(ISeries<double> int double bool int bool bool)' and 'Indicator.ZigZagATR(ISeries<double> int double bool int bool bool)',CS0121,395,30,
ZigZagATR.cs,The call is ambiguous between the following methods or properties: 'Indicator.ZigZagATR(ISeries<double> int double bool int bool bool)' and 'Indicator.ZigZagATR(ISeries<double> int double bool int bool bool)',CS0121,447,21,
ZigZagATR.cs,The call is ambiguous between the following methods or properties: 'Indicator.ZigZagATR(ISeries<double> int double bool int bool bool)' and 'Indicator.ZigZagATR(ISeries<double> int double bool int bool bool)',CS0121,452,21,
ZigZagATR.cs,The call is ambiguous between the following methods or properties: 'Indicator.ZigZagATR(ISeries<double> int double bool int bool bool)' and 'Indicator.ZigZagATR(ISeries<double> int double bool int bool bool)',CS0121,347,20,
ZigZagATR.cs,Ambiguity between 'Indicator.cacheZigZagATR' and 'Indicator.cacheZigZagATR',CS0229,352,17,
ZigZagATR.cs,Ambiguity between 'Indicator.cacheZigZagATR' and 'Indicator.cacheZigZagATR',CS0229,353,41,
ZigZagATR.cs,Ambiguity between 'Indicator.cacheZigZagATR' and 'Indicator.cacheZigZagATR',CS0229,354,25,
ZigZagATR.cs,Ambiguity between 'Indicator.cacheZigZagATR' and 'Indicator.cacheZigZagATR',CS0229,355,28,
ZigZagATR.cs,Ambiguity between 'Indicator.cacheZigZagATR' and 'Indicator.cacheZigZagATR',CS0229,356,28,
ZigZagATR.cs,Ambiguity between 'Indicator.cacheZigZagATR' and 'Indicator.cacheZigZagATR',CS0229,357,28,
ZigZagATR.cs,Ambiguity between 'Indicator.cacheZigZagATR' and 'Indicator.cacheZigZagATR',CS0229,358,28,
ZigZagATR.cs,Ambiguity between 'Indicator.cacheZigZagATR' and 'Indicator.cacheZigZagATR',CS0229,359,28,
ZigZagATR.cs,Ambiguity between 'Indicator.cacheZigZagATR' and 'Indicator.cacheZigZagATR',CS0229,360,28,
ZigZagATR.cs,Ambiguity between 'Indicator.cacheZigZagATR' and 'Indicator.cacheZigZagATR',CS0229,361,28,
ZigZagATR.cs,Ambiguity between 'Indicator.cacheZigZagATR' and 'Indicator.cacheZigZagATR',CS0229,362,32,
ZigZagATR.cs,Ambiguity between 'Indicator.cacheZigZagATR' and 'Indicator.cacheZigZagATR',CS0229,363,220,
ZigZagATR.cs,The call is ambiguous between the following methods or properties: 'Indicator.ZigZagATR(ISeries<double> int double bool int bool bool)' and 'Indicator.ZigZagATR(ISeries<double> int double bool int bool bool)',CS0121,411,11,
ZigZagATR.cs,Ambiguity between 'Indicator.cacheZigZagATR' and 'Indicator.cacheZigZagATR',CS0229,416,8,
ZigZagATR.cs,Ambiguity between 'Indicator.cacheZigZagATR' and 'Indicator.cacheZigZagATR',CS0229,417,29,
ZigZagATR.cs,Ambiguity between 'Indicator.cacheZigZagATR' and 'Indicator.cacheZigZagATR',CS0229,418,10,
ZigZagATR.cs,Ambiguity between 'Indicator.cacheZigZagATR' and 'Indicator.cacheZigZagATR',CS0229,418,41,
ZigZagATR.cs,Ambiguity between 'Indicator.cacheZigZagATR' and 'Indicator.cacheZigZagATR',CS0229,418,87,
ZigZagATR.cs,Ambiguity between 'Indicator.cacheZigZagATR' and 'Indicator.cacheZigZagATR',CS0229,418,129,
ZigZagATR.cs,Ambiguity between 'Indicator.cacheZigZagATR' and 'Indicator.cacheZigZagATR',CS0229,418,181,
ZigZagATR.cs,Ambiguity between 'Indicator.cacheZigZagATR' and 'Indicator.cacheZigZagATR',CS0229,418,223,
ZigZagATR.cs,Ambiguity between 'Indicator.cacheZigZagATR' and 'Indicator.cacheZigZagATR',CS0229,418,273,
ZigZagATR.cs,Ambiguity between 'Indicator.cacheZigZagATR' and 'Indicator.cacheZigZagATR',CS0229,418,323,
ZigZagATR.cs,Ambiguity between 'Indicator.cacheZigZagATR' and 'Indicator.cacheZigZagATR',CS0229,419,14,
ZigZagATR.cs,Ambiguity between 'Indicator.cacheZigZagATR' and 'Indicator.cacheZigZagATR',CS0229,420,211,
ZigZagATR.cs,The call is ambiguous between the following methods or properties: 'Indicator.ZigZagATR(ISeries<double> int double bool int bool bool)' and 'Indicator.ZigZagATR(ISeries<double> int double bool int bool bool)',CS0121,374,30,
ZigZagATR.cs,The call is ambiguous between the following methods or properties: 'Indicator.ZigZagATR(ISeries<double> int double bool int bool bool)' and 'Indicator.ZigZagATR(ISeries<double> int double bool int bool bool)',CS0121,379,30,
ZigZagATR.cs,The call is ambiguous between the following methods or properties: 'Indicator.ZigZagATR(ISeries<double> int double bool int bool bool)' and 'Indicator.ZigZagATR(ISeries<double> int double bool int bool bool)',CS0121,431,21,
ZigZagATR.cs,The call is ambiguous between the following methods or properties: 'Indicator.ZigZagATR(ISeries<double> int double bool int bool bool)' and 'Indicator.ZigZagATR(ISeries<double> int double bool int bool bool)',CS0121,436,21,
