shape,n,mean,se,ci95_lo,ci95_hi,mfe_mean,mae_mean
NOISE,25217,0.069,0.041,-0.012,0.15,2.782,-2.734
STEEP_LINEAR_UP,9630,-0.137,0.057,-0.25,-0.025,2.543,-2.74
STEEP_LINEAR_DOWN,9560,0.092,0.069,-0.042,0.227,2.95,-2.869
STEEP_CONCAVE_UP,9523,-0.218,0.064,-0.344,-0.092,2.542,-2.826
STEEP_CONVEX_DOWN,8881,-0.055,0.075,-0.202,0.092,2.841,-2.949
STEEP_CONCAVE_DOWN,5619,-0.096,0.087,-0.267,0.075,2.796,-2.977
STEEP_CONVEX_UP,5593,-0.072,0.087,-0.241,0.098,2.693,-2.776
FLATLINE,5525,-0.067,0.083,-0.23,0.095,2.69,-2.795
GENTLE_LINEAR_UP,61,-0.332,0.24,-0.802,0.138,0.857,-1.324
GENTLE_LINEAR_DOWN,54,-0.468,0.3,-1.056,0.121,0.94,-1.551
GENTLE_CONCAVE_UP,53,0.236,0.33,-0.412,0.884,1.387,-1.085
GENTLE_CONVEX_DOWN,51,0.01,0.227,-0.434,0.454,1.01,-0.941
GENTLE_CONVEX_UP,39,-0.519,0.259,-1.028,-0.011,0.737,-1.16
GENTLE_CONCAVE_DOWN,38,-0.026,0.361,-0.734,0.681,1.02,-1.099
