shape,Sq1,Sq2,Sq3,Sq4,Sq5
FLATLINE,-0.15509518477043674,0.515006821282401,0.7032828282828283,-0.3092224231464738,0.5725419664268585
GENTLE_CONCAVE_DOWN,-0.52,2.043103448275862,8.152777777777779,-7.8977272727272725,4.916666666666667
GENTLE_CONCAVE_UP,-0.461965811965812,0.4596774193548387,1.593625498007968,3.765957446808511,-13.0625
GENTLE_CONVEX_DOWN,0.4585687382297552,-0.025,-0.8852459016393442,-4.075431034482759,-8.375
GENTLE_CONVEX_UP,-0.14457831325301204,-2.1907894736842106,2.0364583333333335,2.98,9.875
GENTLE_LINEAR_DOWN,-0.1298219584569733,-0.4585427135678392,-4.596774193548387,0.7865853658536586,7.861111111111111
GENTLE_LINEAR_UP,-0.5400874635568513,-0.4234104046242775,-1.759433962264151,1.8611111111111112,15.428571428571429
NOISE,0.7282818532818532,0.8215408805031447,-1.4682971014492754,-0.9714912280701754,2.2049180327868854
STEEP_CONCAVE_DOWN,-1.7583333333333333,-2.4675,3.40702479338843,0.50920245398773,0.3047337278106509
STEEP_CONCAVE_UP,-0.3475609756097561,0.5466360856269113,0.683996383363472,0.4933530280649926,-0.918075422626788
STEEP_CONVEX_DOWN,0.6208333333333333,-0.16727272727272727,-1.2828663793103448,0.49336973478939156,1.7063648293963254
STEEP_CONVEX_UP,-0.08823529411764706,-2.18801652892562,-1.9087301587301588,-0.2648809523809524,-1.2285714285714286
STEEP_LINEAR_DOWN,0.12424242424242424,-0.854,-0.14041666666666666,1.4057203389830508,0.6870588235294117
STEEP_LINEAR_UP,-0.01867816091954023,-0.6328781512605042,0.45016611295681064,0.44353582554517135,1.0337381916329285
