entry_tier,zone_behavior,n_trades,wr_pct,pnl_total,pnl_mean,pnl_median
FADE_CALM,between_zones,208,82.6923076923077,24863.0,119.53365384615384,78.0
RIDE_AGAINST,between_zones,790,62.78481012658228,20382.5,25.800632911392405,14.5
FADE_AGAINST,between_zones,201,64.17910447761194,14524.0,72.2587064676617,50.0
BASE_NMP,between_zones,690,35.94202898550725,11009.0,15.955072463768117,-4.5
RIDE_AGAINST,escape_velocity,314,63.37579617834395,10443.0,33.25796178343949,17.5
FADE_CALM,captured,49,87.75510204081633,6848.5,139.76530612244898,128.0
FADE_CALM,escape_velocity,68,79.41176470588235,6645.5,97.7279411764706,76.75
FADE_AGAINST,escape_velocity,72,62.5,4863.0,67.54166666666667,26.25
RIDE_AGAINST,captured,180,65.0,4785.5,26.586111111111112,27.5
BASE_NMP,escape_velocity,236,34.74576271186441,4033.5,17.091101694915253,-4.0
FADE_CALM,cross_well,37,78.37837837837837,3804.0,102.8108108108108,70.0
RIDE_AGAINST,cross_well,135,65.18518518518519,3570.5,26.44814814814815,13.5
BASE_NMP,captured,177,36.72316384180791,2705.0,15.282485875706215,-3.5
RIDE_CALM,between_zones,356,46.91011235955056,2641.5,7.419943820224719,-4.75
FADE_AGAINST,captured,46,67.3913043478261,2548.0,55.391304347826086,24.0
BASE_NMP,cross_well,92,35.869565217391305,2249.5,24.45108695652174,-10.0
FADE_AGAINST,cross_well,32,65.625,1600.0,50.0,53.5
FREIGHT_TRAIN,between_zones,7,100.0,1432.0,204.57142857142858,109.5
KILL_SHOT,between_zones,52,86.53846153846155,1148.5,22.08653846153846,16.5
KILL_SHOT,escape_velocity,21,90.47619047619048,801.0,38.142857142857146,23.5
FREIGHT_TRAIN,escape_velocity,3,100.0,774.5,258.1666666666667,88.5
FADE_MOMENTUM,between_zones,7,71.42857142857143,708.0,101.14285714285714,79.0
RIDE_CALM,escape_velocity,125,48.8,646.5,5.172,-0.5
RIDE_CALM,cross_well,61,52.459016393442624,644.0,10.557377049180328,1.5
FADE_MOMENTUM,escape_velocity,1,100.0,447.5,447.5,447.5
FADE_MOMENTUM,cross_well,2,100.0,426.5,213.25,213.25
KILL_SHOT,cross_well,16,93.75,293.0,18.3125,19.75
FADE_MOMENTUM,captured,1,100.0,255.5,255.5,255.5
RIDE_MOMENTUM,escape_velocity,4,50.0,253.5,63.375,46.25
KILL_SHOT,captured,16,75.0,238.0,14.875,9.75
CASCADE,between_zones,8,87.5,172.5,21.5625,23.0
CASCADE,cross_well,2,100.0,83.0,41.5,41.5
CASCADE,captured,3,100.0,61.0,20.333333333333332,18.5
CASCADE,escape_velocity,3,100.0,47.5,15.833333333333334,7.0
RIDE_MOMENTUM,between_zones,3,33.33333333333333,13.0,4.333333333333333,-9.5
FREIGHT_TRAIN,cross_well,1,0.0,-67.0,-67.0,-67.0
RIDE_CALM,captured,81,41.9753086419753,-766.0,-9.45679012345679,-16.5
