concept,5s,15s,1m,5m,15m,1h,4h,1D
bar_range,-0.015307365200191438,-0.016026173633136617,-0.011293357812530515,-0.0161295547150128,-0.0023938159798000394,0.023453599154975146,0.013111995688689025,-0.054364333106985054
body,-0.02340698641482965,0.005402621455107461,0.0002855923807431097,0.009512057223844678,-0.0013615949363050095,-0.0788579457766008,-0.09106958589695761,-0.11730554836666156
price_accel_1b,-0.02279984746481723,-0.023501411411520807,0.003969001126827488,0.0015418929221498524,0.0066440900197243915,-0.04003176271601971,-0.05431869220362072,-0.1156146492667286
price_accel_w,-0.0040220775565540465,-0.00537479605804599,-0.013839757440279746,0.01855679966930167,0.029630553394159972,-0.010476947523157804,-0.04345812895397191,-0.051998815567978925
price_mean_w,-0.0031821832951329874,-0.003181449186917587,-0.003324783473074685,-0.003246224933734142,-0.0006991777808491802,0.005447247748147239,0.015272403571067928,0.01386319630551632
price_sigma_w,-0.011950155484470142,-0.02468263556433306,-0.022346895639300632,0.004087796956778998,0.034952325164817534,0.019631624252646456,-0.007917529298141756,-0.018122632660103215
price_velocity_1b,-0.01748123490157445,0.0048957713592179255,0.00018305779403113637,0.009913003677182713,-0.0006797916098473832,-0.07911075885915574,-0.0896883897909536,-0.10742416289021378
price_velocity_w,0.021544387131626846,0.01757168998522734,0.0135669946743474,-0.011635368617688225,-0.07247345146820235,-0.11716570495179433,-0.04407552487026582,0.02740566168891644
vol_accel_1b,-0.017673570341335137,-0.00831734353368487,0.0035301664790306727,-0.0027384239937049792,0.009078111637421879,0.0029107357429435754,0.0097502505124977,-0.05591532888768236
vol_accel_w,-0.015686168242334524,-0.004920103497716662,0.005449301699008693,-0.0016495824277020193,-0.008013431176795783,-0.0007455625338896011,-0.031630560614612176,-0.026986042690632085
vol_mean_w,-0.0048572642101164494,-0.0055897366490372255,-0.005033446085439449,0.005406246348020947,0.01600772689095991,0.026982734207959474,-0.0030926087369170523,-0.0026312872159688218
vol_sigma_w,-0.0066407712536532505,-0.016117373294986897,-0.008008774932416524,-0.00017443436877675778,0.012899293178753915,0.03534382632054566,-0.007754041999342093,-0.011868171522843949
vol_velocity_1b,-0.015457999888828209,-0.006254420334244079,-0.0013236598424256312,-0.007328877859913979,-0.015545902968505712,0.005894904032397101,-0.0036336864895459876,-0.05205649216470926
vol_velocity_w,-0.00551802098827816,-0.008263411935094129,-0.005696807788807619,-0.03797058016684689,-0.01339413454580478,0.0031280456727987693,-0.011706314391146022,-0.030901753667735007
vwap_w,-0.003169063381062362,-0.0032109392259463605,-0.0033272535654610674,-0.0032052919168295683,-0.0014066132658625055,0.001800812153650393,0.015209041539424473,0.01413888257789413
